Species,Scientific,English,Diet-Inv,Diet-Vert,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,ForagingLocation,BodyMass-Value,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial
mihe,Myzomela rubratra,Micronesian Myzomela,40,0,0,60,0,0,mid,14,0,20,40,40,0
brwe,Zosterops conspicillatus,Bridled White-eye,60,0,20,20,0,0,up,7.9,0,60,40,0,0
gowe,Cleptornis marchei,Golden White-eye,20,0,50,10,20,0,mid,20.2,0,0,70,30,0
timo,Monarcha takatsukasae,Tinian Monarch,100,0,0,0,0,0,low,36,0,30,40,30,0
rufa,Rhipidura rufifrons,Rufous Fantail,100,0,0,0,0,0,low,10.08,10,60,30,0,0
mist,Aplonis opaca,Micronesian Starling,20,10,40,0,30,0,up,83.4,0,30,30,40,0
cokf,Todiramphus chloris,Collared Kingfisher,20,80,0,0,0,0,low,66.09,60,40,0,0,0
mafd,Ptilinopus roseicapilla,Mariana Fruit-dove,0,0,90,0,0,10,up,90.4,0,10,20,70,0
wtgd,Gallicolumba xanthonura,White-throated Ground-dove,0,0,70,0,20,10,low,110.62,40,20,20,20,0
bldr,Dicrurus macrocercus,Black Drongo,50,20,0,20,10,0,mid,48.3,10,10,20,30,30
chic,Gallus gallus,Red Junglefowl,30,0,20,0,20,30,low,751.72,100,0,0,0,0
iscd,Streptopelia bitorquata,Island Collared-dove,0,0,0,0,100,0,low,153,100,0,0,0,0
