date	island	site	point	time	spp	numind	dist	occasion
6/10/11	Tinian	Chigit	Cha	531	Zoco	6	12	1
6/10/11	Tinian	Chigit	Cha	531	Ptro	1	40	1
6/10/11	Tinian	Chigit	Cha	531	Mota	2	12	1
6/10/11	Tinian	Chigit	Cha	531	Rhru	1	12	1
6/10/11	Tinian	Chigit	Cha	531	Rhru	1	20	1
6/10/11	Tinian	Chigit	Cha	531	Apop	1	18	1
6/10/11	Tinian	Chigit	Cha	531	Mota	2	8	1
6/10/11	Tinian	Chigit	Cha	531	Myru	1	20	1
6/10/11	Tinian	Chigit	Chc	545	Ptro	1	20	1
6/10/11	Tinian	Chigit	Chc	545	Mota	2	20	1
6/10/11	Tinian	Chigit	Chc	545	Toch	1	40	1
6/10/11	Tinian	Chigit	Chc	545	Mota	1	25	1
6/10/11	Tinian	Chigit	Chc	545	Zoco	4	20	1
6/10/11	Tinian	Chigit	Chc	545	Rhru	1	25	1
6/10/11	Tinian	Chigit	Chc	545	Myru	1	18	1
6/10/11	Tinian	Chigit	Chc	545	Apop	2	20	1
6/10/11	Tinian	Chigit	Chc	545	Rhru	1	18	1
6/10/11	Tinian	Chigit	Chc	545	Zoco	4	20	1
6/10/11	Tinian	Chigit	Chc	545	Ptro	2	35	1
6/10/11	Tinian	Chigit	Chb	601	Rhru	1	15	1
6/10/11	Tinian	Chigit	Chb	601	Rhru	1	30	1
6/10/11	Tinian	Chigit	Chb	601	Rhru	1	10	1
6/10/11	Tinian	Chigit	Chb	601	Zoco	3	15	1
6/10/11	Tinian	Chigit	Chb	601	Mota	1	25	1
6/10/11	Tinian	Chigit	Chb	601	Ptro	1	30	1
6/10/11	Tinian	Chigit	Chb	601	Apop	1	40	1
6/10/11	Tinian	Chigit	Chb	601	Rhru	1	20	1
6/10/11	Tinian	Chigit	Chb	601	Zoco	3	15	1
6/10/11	Tinian	Chigit	Chb	601	Mota	1	10	1
6/10/11	Tinian	Chigit	Chb	601	Ptro	1	20	1
6/10/11	Tinian	Lasun	Lsa	721	Zoco	2	20	1
6/10/11	Tinian	Lasun	Lsa	721	Zoco	2	10	1
6/10/11	Tinian	Lasun	Lsa	721	Mota	1	20	1
6/10/11	Tinian	Lasun	Lsa	721	Rhru	1	20	1
6/10/11	Tinian	Lasun	Lsa	721	Ptro	1	30	1
6/10/11	Tinian	Lasun	Lsa	721	Rhru	1	20	1
6/10/11	Tinian	Lasun	Lsa	721	Rhru	1	4	1
6/10/11	Tinian	Lasun	Lsa	721	Zoco	3	20	1
6/10/11	Tinian	Lasun	Lsa	721	Myru	1	25	1
6/10/11	Tinian	Lasun	Lsa	721	Mota	1	12	1
6/10/11	Tinian	Lasun	Lsc	735	Rhru	1	17	1
6/10/11	Tinian	Lasun	Lsc	735	Ptro	1	30	1
6/10/11	Tinian	Lasun	Lsc	735	Zoco	3	10	1
6/10/11	Tinian	Lasun	Lsc	735	Rhru	1	13	1
6/10/11	Tinian	Lasun	Lsc	735	Rhru	2	16	1
6/10/11	Tinian	Lasun	Lsc	735	Mota	2	12	1
6/10/11	Tinian	Lasun	Lsc	735	Zoco	2	8	1
6/10/11	Tinian	Lasun	Lsb	750	Zoco	4	25	1
6/10/11	Tinian	Lasun	Lsb	750	Rhru	1	20	1
6/10/11	Tinian	Lasun	Lsb	750	Gaxa	3	30	1
6/10/11	Tinian	Lasun	Lsb	750	Mota	1	17	1
6/10/11	Tinian	Lasun	Lsb	750	Ptro	1	20	1
6/10/11	Tinian	Lasun	Lsb	750	Ptro	2	35	1
6/10/11	Tinian	Lasun	Lsb	750	Rhru	1	10	1
6/10/11	Tinian	Lasun	Lsb	750	Mota	1	20	1
6/10/11	Tinian	japc	Jb	851	Toch	3	25	1
6/10/11	Tinian	japc	Jb	851	Zoco	4	20	1
6/10/11	Tinian	japc	Jb	851	Mota	1	17	1
6/10/11	Tinian	japc	Jb	851	Rhru	1	10	1
6/10/11	Tinian	japc	Jb	851	Mota	1	10	1
6/10/11	Tinian	japc	Jb	851	Myru	1	3	1
6/10/11	Tinian	japc	Jb	851	Apop	1	15	1
6/10/11	Tinian	japc	Jb	851	Apop	1	23	1
6/10/11	Tinian	japc	Jb	851	Ptro	1	25	1
6/10/11	Tinian	japc	Jb	851	Ptro	1	18	1
6/10/11	Tinian	japc	Jb	851	Mota	1	5	1
6/10/11	Tinian	japc	Jb	851	Myru	1	20	1
6/10/11	Tinian	japc	Jb	851	Gaxa	1	NA	1
6/10/11	Tinian	japc	Jc	905	Apop	1	20	1
6/10/11	Tinian	japc	Jc	905	Apop	4	12	1
6/10/11	Tinian	japc	Jc	905	Zoco	2	12	1
6/10/11	Tinian	japc	Jc	905	Rhru	1	20	1
6/10/11	Tinian	japc	Jc	905	Rhru	1	20	1
6/10/11	Tinian	japc	Jc	905	Mota	1	10	1
6/10/11	Tinian	japc	Jc	905	Apop	1	12	1
6/10/11	Tinian	japc	Jc	905	Apop	1	17	1
6/10/11	Tinian	japc	Jc	905	Toch	1	12	1
6/10/11	Tinian	japc	Ja	923	Zoco	2	20	1
6/10/11	Tinian	japc	Ja	923	Zoco	1	12	1
6/10/11	Tinian	japc	Ja	923	Ptro	1	30	1
6/10/11	Tinian	japc	Ja	923	Apop	3	40	1
