"","spp","Predicted","SE","lower","upper","island"
"1","apop",0.999950650469989,0.00201634297902662,3.35925958026011e-31,1,"Rota"
"2","apop",0.999950650469989,0.00201634297902662,3.35925958026011e-31,1,"Saipan"
"3","apop",0.999950650469989,0.00201634297902662,3.35925958026011e-31,1,"Tinian"
"4","clma",0.999986654793532,0.000323921070553423,1.6354325791044e-16,1,"Saipan"
"5","dima",0.999702689181685,0.00836728364631192,3.66423939156794e-21,1,"Rota"
"6","gaga",0.0310716943139344,0.0220511414395662,0.00757380202250787,0.118749124823162,"Rota"
"7","gaga",0.0310716943139344,0.0220511414395662,0.00757380202250787,0.118749124823162,"Saipan"
"8","gaga",0.0310716943139344,0.0220511414395662,0.00757380202250787,0.118749124823162,"Tinian"
"9","gaxa",0.111813349938963,0.0537565206524575,0.0417556599574,0.266699286602392,"Rota"
"10","gaxa",0.111813349938963,0.0537565206524575,0.0417556599574,0.266699286602392,"Saipan"
"11","gaxa",0.111813349938963,0.0537565206524575,0.0417556599574,0.266699286602392,"Tinian"
"12","mota",0.999985954258483,0.000414718009912633,5.23975066959948e-21,1,"Tinian"
"13","myru",0.987555408574367,0.296213449286469,2.41806980357374e-19,1,"Rota"
"14","myru",0.987555408574367,0.296213449286469,2.41806980357374e-19,1,"Saipan"
"15","myru",0.987555408574367,0.296213449286469,2.41806980357374e-19,1,"Tinian"
"16","ptro",0.997965436090225,0.0327559533255423,9.09034699312331e-12,1,"Rota"
"17","ptro",0.997965436090225,0.0327559533255423,9.09034699312331e-12,1,"Saipan"
"18","ptro",0.997965436090225,0.0327559533255423,9.09034699312331e-12,1,"Tinian"
"19","rhru",0.999743917285446,0.00148344882734059,0.0436495170662375,0.999999997005355,"Rota"
"20","rhru",0.999743917285446,0.00148344882734059,0.0436495170662375,0.999999997005355,"Saipan"
"21","rhru",0.999743917285446,0.00148344882734059,0.0436495170662375,0.999999997005355,"Tinian"
"22","stbi",0.0512751511218655,0.0293599204715462,0.0162891370933751,0.149950216313769,"Rota"
"23","stbi",0.0512751511218655,0.0293599204715462,0.0162891370933751,0.149950216313769,"Saipan"
"24","stbi",0.0512751511218655,0.0293599204715462,0.0162891370933751,0.149950216313769,"Tinian"
"25","toch",0.998748287756675,0.035118178690034,9.78623726905793e-22,1,"Rota"
"26","toch",0.998748287756675,0.035118178690034,9.78623726905793e-22,1,"Saipan"
"27","toch",0.998748287756675,0.035118178690034,9.78623726905793e-22,1,"Tinian"
"28","zoco",0.999891131834729,0.000538299117427105,0.361965929356137,0.999999993274568,"Saipan"
"29","zoco",0.999891131834729,0.000538299117427105,0.361965929356137,0.999999993274568,"Tinian"
